1	-77.16350000000249 -77.16350000000443 -77.16350000000037 -77.16350000000249
2	-81.20060000000016 -81.20060000000032 -81.20060000000001 -81.20060000000016
3	-79.04780000000122 -79.04780000000221 -79.04780000000018 -79.04780000000122
4	-81.28870000000029 -81.28870000000053 -81.28870000000003 -81.28870000000029
5	-76.87470000000013 -76.87470000000023 -76.87470000000002 -76.87470000000013
6	-80.23130000000005 -80.23130000000009 -80.23129999999999 -80.23130000000005
7	-79.88570000000017 -79.88570000000033 -79.88570000000001 -79.88570000000017
8	-78.03000000000011 -78.0300000000002 -78.03 -78.03000000000011
9	-75.35450000000036 -75.35450000000067 -75.35450000000004 -75.35450000000036
10	-76.48410000000054 -76.48410000000098 -76.48410000000008 -76.48410000000054
11	-78.87770000000002 -78.87770000000005 -78.8777 -78.87770000000002
12	-80.12570000000001 -80.12570000000001 -80.12570000000001 -80.12570000000001
13	-76.0674 -76.06740000000002 -76.06739999999999 -76.0674
14	-81.10730000000002 -81.10730000000002 -81.10730000000001 -81.10730000000002
15	-76.4856 -76.48560000000002 -76.4856 -76.4856
16	-80.04280000000026 -80.04280000000047 -80.04280000000003 -80.04280000000026
17	-76.96840000000006 -76.96840000000013 -76.96840000000002 -76.96840000000006
18	-71.2025 -71.20250000000001 -71.2025 -71.2025
19	10.574399999994231 10.574399999989883 10.574399999999066 10.574399999994231
20	283.32 283.32 283.32 283.32
21	41.90069999953528 41.90069999925107 41.9006999999012 41.90069999953528
22	287.0552 287.0552 287.0552 287.0552
23	45.02239999784591 45.022399996629396 45.02239999949603 45.02239999784591
24	272.0765 272.0765 272.0765 272.0765
25	257.1716 257.1716 257.1716 257.1716
26	249.6127 249.6127 249.61269999999996 249.6127
27	52.11669999412731 52.11669999098627 52.11669999853715 52.11669999412731
28	294.48976204781883 294.4860061761739 294.4989732889748 294.48976204781883
29	149.13439008447799 149.13438680784088 149.13439606999245 149.13439008447799
30	274.6045 274.6045 274.6045 274.6045
31	268.6385 268.6385 268.6385 268.6385
32	5.5995999999046004 5.599599999841503 5.599599999981632 5.5995999999046004
33	-69.31290000000072 -69.31290000000132 -69.3129000000001 -69.31290000000072
34	-26.994500000049054 -26.994500000082553 -26.994500000009058 -26.994500000049054
35	-43.37150000000568 -43.371500000009966 -43.371500000000914 -43.37150000000568
36	14.693699999513269 14.693699999216292 14.693699999896234 14.693699999513269
37	8.64159999544891 8.641599992980407 8.641599998884278 8.64159999544891
